------+---------------------------------------------+-------------+----+---------+------+-----------------------+----------------------------------------------------------------------
 Line | # File                                 Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code
  637 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    237 | Equivalence | 11 |         |    0 | 00/0000               | SP23_Y_POS_H             =     $AF0CBF              
  638 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    238 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 24
  639 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    239 | Equivalence | 11 |         |    0 | 00/0000               | SP24_CONTROL_REG         =     $AF0CC0              
  640 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    240 | Equivalence | 11 |         |    0 | 00/0000               | SP24_ADDY_PTR_L          =     $AF0CC1              
  641 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    241 | Equivalence | 11 |         |    0 | 00/0000               | SP24_ADDY_PTR_M          =     $AF0CC2              
  642 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    242 | Equivalence | 11 |         |    0 | 00/0000               | SP24_ADDY_PTR_H          =     $AF0CC3              
  643 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    243 | Equivalence | 11 |         |    0 | 00/0000               | SP24_X_POS_L             =     $AF0CC4              
  644 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    244 | Equivalence | 11 |         |    0 | 00/0000               | SP24_X_POS_H             =     $AF0CC5              
  645 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    245 | Equivalence | 11 |         |    0 | 00/0000               | SP24_Y_POS_L             =     $AF0CC6              
  646 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    246 | Equivalence | 11 |         |    0 | 00/0000               | SP24_Y_POS_H             =     $AF0CC7              
  647 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    247 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 25
  648 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    248 | Equivalence | 11 |         |    0 | 00/0000               | SP25_CONTROL_REG         =     $AF0CC8              
  649 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    249 | Equivalence | 11 |         |    0 | 00/0000               | SP25_ADDY_PTR_L          =     $AF0CC9              
  650 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    250 | Equivalence | 11 |         |    0 | 00/0000               | SP25_ADDY_PTR_M          =     $AF0CCA              
  651 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    251 | Equivalence | 11 |         |    0 | 00/0000               | SP25_ADDY_PTR_H          =     $AF0CCB              
  652 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    252 | Equivalence | 11 |         |    0 | 00/0000               | SP25_X_POS_L             =     $AF0CCC              
  653 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    253 | Equivalence | 11 |         |    0 | 00/0000               | SP25_X_POS_H             =     $AF0CCD              
  654 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    254 | Equivalence | 11 |         |    0 | 00/0000               | SP25_Y_POS_L             =     $AF0CCE              
  655 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    255 | Equivalence | 11 |         |    0 | 00/0000               | SP25_Y_POS_H             =     $AF0CCF              
  656 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    256 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 26
  657 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    257 | Equivalence | 11 |         |    0 | 00/0000               | SP26_CONTROL_REG         =     $AF0CD0              
  658 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    258 | Equivalence | 11 |         |    0 | 00/0000               | SP26_ADDY_PTR_L          =     $AF0CD1              
  659 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    259 | Equivalence | 11 |         |    0 | 00/0000               | SP26_ADDY_PTR_M          =     $AF0CD2              
  660 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    260 | Equivalence | 11 |         |    0 | 00/0000               | SP26_ADDY_PTR_H          =     $AF0CD3              
  661 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    261 | Equivalence | 11 |         |    0 | 00/0000               | SP26_X_POS_L             =     $AF0CD4              
  662 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    262 | Equivalence | 11 |         |    0 | 00/0000               | SP26_X_POS_H             =     $AF0CD5              
  663 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    263 | Equivalence | 11 |         |    0 | 00/0000               | SP26_Y_POS_L             =     $AF0CD6              
  664 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    264 | Equivalence | 11 |         |    0 | 00/0000               | SP26_Y_POS_H             =     $AF0CD7              
  665 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    265 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 27
  666 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    266 | Equivalence | 11 |         |    0 | 00/0000               | SP27_CONTROL_REG         =     $AF0CD8              
  667 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    267 | Equivalence | 11 |         |    0 | 00/0000               | SP27_ADDY_PTR_L          =     $AF0CD9              
  668 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    268 | Equivalence | 11 |         |    0 | 00/0000               | SP27_ADDY_PTR_M          =     $AF0CDA              
  669 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    269 | Equivalence | 11 |         |    0 | 00/0000               | SP27_ADDY_PTR_H          =     $AF0CDB              
  670 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    270 | Equivalence | 11 |         |    0 | 00/0000               | SP27_X_POS_L             =     $AF0CDC              
  671 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    271 | Equivalence | 11 |         |    0 | 00/0000               | SP27_X_POS_H             =     $AF0CDD              
  672 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    272 | Equivalence | 11 |         |    0 | 00/0000               | SP27_Y_POS_L             =     $AF0CDE              
  673 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    273 | Equivalence | 11 |         |    0 | 00/0000               | SP27_Y_POS_H             =     $AF0CDF              
  674 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    274 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 28
  675 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    275 | Equivalence | 11 |         |    0 | 00/0000               | SP28_CONTROL_REG         =     $AF0CE0              
  676 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    276 | Equivalence | 11 |         |    0 | 00/0000               | SP28_ADDY_PTR_L          =     $AF0CE1              
  677 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    277 | Equivalence | 11 |         |    0 | 00/0000               | SP28_ADDY_PTR_M          =     $AF0CE2              
  678 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    278 | Equivalence | 11 |         |    0 | 00/0000               | SP28_ADDY_PTR_H          =     $AF0CE3              
  679 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    279 | Equivalence | 11 |         |    0 | 00/0000               | SP28_X_POS_L             =     $AF0CE4              
  680 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    280 | Equivalence | 11 |         |    0 | 00/0000               | SP28_X_POS_H             =     $AF0CE5              
  681 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    281 | Equivalence | 11 |         |    0 | 00/0000               | SP28_Y_POS_L             =     $AF0CE6              
  682 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    282 | Equivalence | 11 |         |    0 | 00/0000               | SP28_Y_POS_H             =     $AF0CE7              
  683 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    283 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 29
  684 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    284 | Equivalence | 11 |         |    0 | 00/0000               | SP29_CONTROL_REG         =     $AF0CE8              
  685 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    285 | Equivalence | 11 |         |    0 | 00/0000               | SP29_ADDY_PTR_L          =     $AF0CE9              
  686 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    286 | Equivalence | 11 |         |    0 | 00/0000               | SP29_ADDY_PTR_M          =     $AF0CEA              
  687 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    287 | Equivalence | 11 |         |    0 | 00/0000               | SP29_ADDY_PTR_H          =     $AF0CEB              
  688 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    288 | Equivalence | 11 |         |    0 | 00/0000               | SP29_X_POS_L             =     $AF0CEC              
  689 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    289 | Equivalence | 11 |         |    0 | 00/0000               | SP29_X_POS_H             =     $AF0CED              
  690 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    290 | Equivalence | 11 |         |    0 | 00/0000               | SP29_Y_POS_L             =     $AF0CEE              
  691 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    291 | Equivalence | 11 |         |    0 | 00/0000               | SP29_Y_POS_H             =     $AF0CEF              
  692 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    292 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 30
  693 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    293 | Equivalence | 11 |         |    0 | 00/0000               | SP30_CONTROL_REG         =     $AF0CF0              
  694 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    294 | Equivalence | 11 |         |    0 | 00/0000               | SP30_ADDY_PTR_L          =     $AF0CF1              
  695 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    295 | Equivalence | 11 |         |    0 | 00/0000               | SP30_ADDY_PTR_M          =     $AF0CF2              
  696 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    296 | Equivalence | 11 |         |    0 | 00/0000               | SP30_ADDY_PTR_H          =     $AF0CF3              
  697 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    297 | Equivalence | 11 |         |    0 | 00/0000               | SP30_X_POS_L             =     $AF0CF4              
  698 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    298 | Equivalence | 11 |         |    0 | 00/0000               | SP30_X_POS_H             =     $AF0CF5              
  699 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    299 | Equivalence | 11 |         |    0 | 00/0000               | SP30_Y_POS_L             =     $AF0CF6              
  700 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    300 | Equivalence | 11 |         |    0 | 00/0000               | SP30_Y_POS_H             =     $AF0CF7              
  701 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    301 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 31
  702 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    302 | Equivalence | 11 |         |    0 | 00/0000               | SP31_CONTROL_REG         =     $AF0CF8              
  703 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    303 | Equivalence | 11 |         |    0 | 00/0000               | SP31_ADDY_PTR_L          =     $AF0CF9              
  704 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    304 | Equivalence | 11 |         |    0 | 00/0000               | SP31_ADDY_PTR_M          =     $AF0CFA              
  705 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    305 | Equivalence | 11 |         |    0 | 00/0000               | SP31_ADDY_PTR_H          =     $AF0CFB              
  706 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    306 | Equivalence | 11 |         |    0 | 00/0000               | SP31_X_POS_L             =     $AF0CFC              
  707 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    307 | Equivalence | 11 |         |    0 | 00/0000               | SP31_X_POS_H             =     $AF0CFD              
  708 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    308 | Equivalence | 11 |         |    0 | 00/0000               | SP31_Y_POS_L             =     $AF0CFE              
  709 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    309 | Equivalence | 11 |         |    0 | 00/0000               | SP31_Y_POS_H             =     $AF0CFF              
  710 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    310 | Comment     | 11 |         |    0 | 00/0000               | ;///////////////////////////////////
  711 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    311 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 32 (Highest Priority)
  712 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    312 | Equivalence | 11 |         |    0 | 00/0000               | SP32_CONTROL_REG         =     $AF0D00              
  713 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    313 | Equivalence | 11 |         |    0 | 00/0000               | SP32_ADDY_PTR_L          =     $AF0D01              
  714 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    314 | Equivalence | 11 |         |    0 | 00/0000               | SP32_ADDY_PTR_M          =     $AF0D02              
  715 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    315 | Equivalence | 11 |         |    0 | 00/0000               | SP32_ADDY_PTR_H          =     $AF0D03              
  716 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    316 | Equivalence | 11 |         |    0 | 00/0000               | SP32_X_POS_L             =     $AF0D04              
  717 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    317 | Equivalence | 11 |         |    0 | 00/0000               | SP32_X_POS_H             =     $AF0D05              
  718 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    318 | Equivalence | 11 |         |    0 | 00/0000               | SP32_Y_POS_L             =     $AF0D06              
  719 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    319 | Equivalence | 11 |         |    0 | 00/0000               | SP32_Y_POS_H             =     $AF0D07              
  720 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    320 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 33
  721 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    321 | Equivalence | 11 |         |    0 | 00/0000               | SP33_CONTROL_REG         =     $AF0D08              
  722 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    322 | Equivalence | 11 |         |    0 | 00/0000               | SP33_ADDY_PTR_L          =     $AF0D09              
  723 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    323 | Equivalence | 11 |         |    0 | 00/0000               | SP33_ADDY_PTR_M          =     $AF0D0A              
  724 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    324 | Equivalence | 11 |         |    0 | 00/0000               | SP33_ADDY_PTR_H          =     $AF0D0B              
  725 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    325 | Equivalence | 11 |         |    0 | 00/0000               | SP33_X_POS_L             =     $AF0D0C              
  726 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    326 | Equivalence | 11 |         |    0 | 00/0000               | SP33_X_POS_H             =     $AF0D0D              
  727 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    327 | Equivalence | 11 |         |    0 | 00/0000               | SP33_Y_POS_L             =     $AF0D0E              
  728 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    328 | Equivalence | 11 |         |    0 | 00/0000               | SP33_Y_POS_H             =     $AF0D0F              
  729 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    329 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 34
  730 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    330 | Equivalence | 11 |         |    0 | 00/0000               | SP34_CONTROL_REG         =     $AF0D10              
  731 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    331 | Equivalence | 11 |         |    0 | 00/0000               | SP34_ADDY_PTR_L          =     $AF0D11              
  732 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    332 | Equivalence | 11 |         |    0 | 00/0000               | SP34_ADDY_PTR_M          =     $AF0D12              
  733 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    333 | Equivalence | 11 |         |    0 | 00/0000               | SP34_ADDY_PTR_H          =     $AF0D13              
  734 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    334 | Equivalence | 11 |         |    0 | 00/0000               | SP34_X_POS_L             =     $AF0D14              
  735 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    335 | Equivalence | 11 |         |    0 | 00/0000               | SP34_X_POS_H             =     $AF0D15              
  736 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    336 | Equivalence | 11 |         |    0 | 00/0000               | SP34_Y_POS_L             =     $AF0D16              
  737 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    337 | Equivalence | 11 |         |    0 | 00/0000               | SP34_Y_POS_H             =     $AF0D17              
  738 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    338 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 35
  739 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    339 | Equivalence | 11 |         |    0 | 00/0000               | SP35_CONTROL_REG         =     $AF0D18              
  740 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    340 | Equivalence | 11 |         |    0 | 00/0000               | SP35_ADDY_PTR_L          =     $AF0D19              
  741 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    341 | Equivalence | 11 |         |    0 | 00/0000               | SP35_ADDY_PTR_M          =     $AF0D1A              
  742 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    342 | Equivalence | 11 |         |    0 | 00/0000               | SP35_ADDY_PTR_H          =     $AF0D1B              
  743 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    343 | Equivalence | 11 |         |    0 | 00/0000               | SP35_X_POS_L             =     $AF0D1C              
  744 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    344 | Equivalence | 11 |         |    0 | 00/0000               | SP35_X_POS_H             =     $AF0D1D              
  745 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    345 | Equivalence | 11 |         |    0 | 00/0000               | SP35_Y_POS_L             =     $AF0D1E              
  746 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    346 | Equivalence | 11 |         |    0 | 00/0000               | SP35_Y_POS_H             =     $AF0D1F              
  747 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    347 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 36
  748 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    348 | Equivalence | 11 |         |    0 | 00/0000               | SP36_CONTROL_REG         =     $AF0D20              
  749 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    349 | Equivalence | 11 |         |    0 | 00/0000               | SP36_ADDY_PTR_L          =     $AF0D21              
  750 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    350 | Equivalence | 11 |         |    0 | 00/0000               | SP36_ADDY_PTR_M          =     $AF0D22              
  751 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    351 | Equivalence | 11 |         |    0 | 00/0000               | SP36_ADDY_PTR_H          =     $AF0D23              
  752 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    352 | Equivalence | 11 |         |    0 | 00/0000               | SP36_X_POS_L             =     $AF0D24              
  753 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    353 | Equivalence | 11 |         |    0 | 00/0000               | SP36_X_POS_H             =     $AF0D25              
  754 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    354 | Equivalence | 11 |         |    0 | 00/0000               | SP36_Y_POS_L             =     $AF0D26              
  755 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    355 | Equivalence | 11 |         |    0 | 00/0000               | SP36_Y_POS_H             =     $AF0D27              
  756 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    356 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 37
  757 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    357 | Equivalence | 11 |         |    0 | 00/0000               | SP37_CONTROL_REG         =     $AF0D28              
  758 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    358 | Equivalence | 11 |         |    0 | 00/0000               | SP37_ADDY_PTR_L          =     $AF0D29              
  759 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    359 | Equivalence | 11 |         |    0 | 00/0000               | SP37_ADDY_PTR_M          =     $AF0D2A              
  760 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    360 | Equivalence | 11 |         |    0 | 00/0000               | SP37_ADDY_PTR_H          =     $AF0D2B              
  761 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    361 | Equivalence | 11 |         |    0 | 00/0000               | SP37_X_POS_L             =     $AF0D2C              
  762 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    362 | Equivalence | 11 |         |    0 | 00/0000               | SP37_X_POS_H             =     $AF0D2D              
  763 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    363 | Equivalence | 11 |         |    0 | 00/0000               | SP37_Y_POS_L             =     $AF0D2E              
  764 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    364 | Equivalence | 11 |         |    0 | 00/0000               | SP37_Y_POS_H             =     $AF0D2F              
  765 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    365 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 38
  766 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    366 | Equivalence | 11 |         |    0 | 00/0000               | SP38_CONTROL_REG         =     $AF0D30              
  767 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    367 | Equivalence | 11 |         |    0 | 00/0000               | SP38_ADDY_PTR_L          =     $AF0D31              
  768 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    368 | Equivalence | 11 |         |    0 | 00/0000               | SP38_ADDY_PTR_M          =     $AF0D32              
  769 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    369 | Equivalence | 11 |         |    0 | 00/0000               | SP38_ADDY_PTR_H          =     $AF0D33              
  770 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    370 | Equivalence | 11 |         |    0 | 00/0000               | SP38_X_POS_L             =     $AF0D34              
  771 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    371 | Equivalence | 11 |         |    0 | 00/0000               | SP38_X_POS_H             =     $AF0D35              
  772 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    372 | Equivalence | 11 |         |    0 | 00/0000               | SP38_Y_POS_L             =     $AF0D36              
  773 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    373 | Equivalence | 11 |         |    0 | 00/0000               | SP38_Y_POS_H             =     $AF0D37              
  774 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    374 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 39
  775 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    375 | Equivalence | 11 |         |    0 | 00/0000               | SP39_CONTROL_REG         =     $AF0D38              
  776 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    376 | Equivalence | 11 |         |    0 | 00/0000               | SP39_ADDY_PTR_L          =     $AF0D39              
  777 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    377 | Equivalence | 11 |         |    0 | 00/0000               | SP39_ADDY_PTR_M          =     $AF0D3A              
  778 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    378 | Equivalence | 11 |         |    0 | 00/0000               | SP39_ADDY_PTR_H          =     $AF0D3B              
  779 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    379 | Equivalence | 11 |         |    0 | 00/0000               | SP39_X_POS_L             =     $AF0D3C              
  780 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    380 | Equivalence | 11 |         |    0 | 00/0000               | SP39_X_POS_H             =     $AF0D3D              
  781 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    381 | Equivalence | 11 |         |    0 | 00/0000               | SP39_Y_POS_L             =     $AF0D3E              
  782 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    382 | Equivalence | 11 |         |    0 | 00/0000               | SP39_Y_POS_H             =     $AF0D3F              
  783 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    383 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 40
  784 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    384 | Equivalence | 11 |         |    0 | 00/0000               | SP40_CONTROL_REG         =     $AF0D40              
  785 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    385 | Equivalence | 11 |         |    0 | 00/0000               | SP40_ADDY_PTR_L          =     $AF0D41              
  786 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    386 | Equivalence | 11 |         |    0 | 00/0000               | SP40_ADDY_PTR_M          =     $AF0D42              
  787 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    387 | Equivalence | 11 |         |    0 | 00/0000               | SP40_ADDY_PTR_H          =     $AF0D43              
  788 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    388 | Equivalence | 11 |         |    0 | 00/0000               | SP40_X_POS_L             =     $AF0D44              
  789 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    389 | Equivalence | 11 |         |    0 | 00/0000               | SP40_X_POS_H             =     $AF0D45              
  790 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    390 | Equivalence | 11 |         |    0 | 00/0000               | SP40_Y_POS_L             =     $AF0D46              
  791 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    391 | Equivalence | 11 |         |    0 | 00/0000               | SP40_Y_POS_H             =     $AF0D47              
  792 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    392 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 41
  793 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    393 | Equivalence | 11 |         |    0 | 00/0000               | SP41_CONTROL_REG         =     $AF0D48              
  794 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    394 | Equivalence | 11 |         |    0 | 00/0000               | SP41_ADDY_PTR_L          =     $AF0D49              
  795 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    395 | Equivalence | 11 |         |    0 | 00/0000               | SP41_ADDY_PTR_M          =     $AF0D4A              
  796 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    396 | Equivalence | 11 |         |    0 | 00/0000               | SP41_ADDY_PTR_H          =     $AF0D4B              
  797 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    397 | Equivalence | 11 |         |    0 | 00/0000               | SP41_X_POS_L             =     $AF0D4C              
  798 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    398 | Equivalence | 11 |         |    0 | 00/0000               | SP41_X_POS_H             =     $AF0D4D              
  799 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    399 | Equivalence | 11 |         |    0 | 00/0000               | SP41_Y_POS_L             =     $AF0D4E              
  800 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    400 | Equivalence | 11 |         |    0 | 00/0000               | SP41_Y_POS_H             =     $AF0D4F              
  801 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    401 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 42
  802 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    402 | Equivalence | 11 |         |    0 | 00/0000               | SP42_CONTROL_REG         =     $AF0D50              
  803 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    403 | Equivalence | 11 |         |    0 | 00/0000               | SP42_ADDY_PTR_L          =     $AF0D51              
  804 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    404 | Equivalence | 11 |         |    0 | 00/0000               | SP42_ADDY_PTR_M          =     $AF0D52              
  805 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    405 | Equivalence | 11 |         |    0 | 00/0000               | SP42_ADDY_PTR_H          =     $AF0D53              
  806 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    406 | Equivalence | 11 |         |    0 | 00/0000               | SP42_X_POS_L             =     $AF0D54              
  807 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    407 | Equivalence | 11 |         |    0 | 00/0000               | SP42_X_POS_H             =     $AF0D55              
  808 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    408 | Equivalence | 11 |         |    0 | 00/0000               | SP42_Y_POS_L             =     $AF0D56              
  809 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    409 | Equivalence | 11 |         |    0 | 00/0000               | SP42_Y_POS_H             =     $AF0D57              
  810 |  7  phx/VKYII_CFP9553_SPRITE_def.asm    410 | Comment     | 11 |         |    0 | 00/0000               | ; Sprite 43
